,Id,Cantidad_Victimas,Fecha,Anio,Mes,Dia,Hora,Franja_Horaria,Lugar_Hecho,Tipo_Calle,Calle,Altura,Barrio,Coordenada x,Coordenada y,Participantes,Victima,Acusado,Hora del día,Dia_Semana,Tipo_Dia
0,20160001,1,2016-01-01,2016,1,1,04:00:00,Madrugada,AV PIEDRA BUENA Y AV FERNANDEZ DE LA CRUZ,AVENIDA,PIEDRA BUENA AV.,cruce_de_calles,8,-58.47533969,-34.68757022,MOTO-AUTO,MOTO,AUTO,4,Friday,Dia_de_Semana
1,20160002,1,2016-01-02,2016,1,2,01:15:00,Madrugada,AV GRAL PAZ  Y AV DE LOS CORRALES,AVENIDA,"PAZ, GRAL. AV.",cruce_de_calles,9,-58.50877521,-34.66977709,AUTO-PASAJEROS,AUTO,PASAJEROS,1,Saturday,Fin_de_Semana
2,20160003,1,2016-01-03,2016,1,3,07:00:00,Mañana,AV ENTRE RIOS 2034,AVENIDA,ENTRE RIOS AV.,2034.0,1,-58.39040293,-34.63189362,MOTO-AUTO,MOTO,AUTO,7,Sunday,Fin_de_Semana
3,20160004,1,2016-01-10,2016,1,10,00:00:00,Madrugada,AV LARRAZABAL Y GRAL VILLEGAS CONRADO,AVENIDA,LARRAZABAL AV.,cruce_de_calles,8,-58.46503904,-34.68092974,MOTO-SD,MOTO,SD,0,Sunday,Fin_de_Semana
4,20160005,1,2016-01-21,2016,1,21,05:20:00,Madrugada,AV SAN JUAN Y PRESIDENTE LUIS SAENZ PEÑA ,AVENIDA,SAN JUAN AV.,cruce_de_calles,1,-58.38718297,-34.62246630,MOTO-PASAJEROS,MOTO,PASAJEROS,5,Thursday,Dia_de_Semana
5,20160008,1,2016-01-24,2016,1,24,18:30:00,Tarde,AV 27 DE FEBRERO Y AV ESCALADA,AVENIDA,27 DE FEBRERO AV.,cruce_de_calles,8,-58.44451316,-34.68475866,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,18,Sunday,Fin_de_Semana
6,20160009,1,2016-01-24,2016,1,24,19:10:00,Tarde,NOGOYA Y JOAQUIN V. GONZALES,CALLE,NOGOYA,cruce_de_calles,11,-58.50095869,-34.60825440,MOTO-AUTO,MOTO,AUTO,19,Sunday,Fin_de_Semana
7,20160010,1,2016-01-29,2016,1,29,15:20:00,Tarde,AV GENERAL PAZ Y AV DE LOS CORRALES,AVENIDA,"PAZ, GRAL. AV.",cruce_de_calles,9,-58.50877521,-34.66977709,MOTO-AUTO,MOTO,AUTO,15,Friday,Dia_de_Semana
8,20160012,1,2016-02-08,2016,2,8,01:20:00,Madrugada,AV BELGRANO Y BERNARDO DE IRIGOYEN,AVENIDA,BELGRANO AV.,cruce_de_calles,1,-58.38048577,-34.61303893,MOTO-CARGAS,MOTO,CARGAS,1,Monday,Dia_de_Semana
9,20160013,1,2016-02-10,2016,2,10,11:30:00,Mañana,AV ENTRE RIOS 1366,AVENIDA,ENTRE RIOS AV.,1366.0,1,-58.39114932,-34.62477387,PEATON-AUTO,PEATON,AUTO,11,Wednesday,Dia_de_Semana
10,20160015,1,2016-02-14,2016,2,14,05:14:00,Madrugada,AV SCALABRINI ORTIZ Y VERA,AVENIDA,"SCALABRINI ORTIZ, RAUL AV.",cruce_de_calles,15,-58.43760020,-34.59912758,PEATON-AUTO,PEATON,AUTO,5,Sunday,Fin_de_Semana
11,20160016,1,2016-02-14,2016,2,14,22:00:00,Noche,AV REGIMIENTO DE PATRICIOS Y QUINQUELA MARTIN BENITO,AVENIDA,REGIMIENTO DE PATRICIOS AV.,cruce_de_calles,4,-58.36882665,-34.64291993,MOTO-AUTO,MOTO,AUTO,22,Sunday,Fin_de_Semana
12,20160017,1,2016-02-15,2016,2,15,16:54:00,Tarde,MARIANO ACOSTA Y ANA MARIA JANER,AVENIDA,"ACOSTA, MARIANO",cruce_de_calles,8,-58.44989671,-34.65970435,PEATON-MOTO,PEATON,MOTO,16,Monday,Dia_de_Semana
13,20160019,1,2016-02-17,2016,2,17,09:30:00,Mañana,LISANDRO DE LA TORRE Y SEVERO GARCIA GRANDE DE ZEQUEIRA ,CALLE,"DE LA TORRE, LISANDRO",cruce_de_calles,9,-58.50990884,-34.65468721,PEATON-PASAJEROS,PEATON,PASAJEROS,9,Wednesday,Dia_de_Semana
14,20160020,1,2016-02-17,2016,2,17,16:00:00,Tarde,SUIPACHA 156,CALLE,SUIPACHA,156.0,1,-58.37952223,-34.60653282,PEATON-AUTO,PEATON,AUTO,16,Wednesday,Dia_de_Semana
