,Id,Fecha,Anio,Mes,Dia,Victima_Fatal,Victima_Movilidad,Sexo,Edad
0,20160001,2016-01-01,2016,1,1,CONDUCTOR,MOTO,MASCULINO,19
1,20160002,2016-01-02,2016,1,2,CONDUCTOR,AUTO,MASCULINO,70
2,20160003,2016-01-03,2016,1,3,CONDUCTOR,MOTO,MASCULINO,30
3,20160004,2016-01-10,2016,1,10,CONDUCTOR,MOTO,MASCULINO,18
4,20160005,2016-01-21,2016,1,21,CONDUCTOR,MOTO,MASCULINO,29
5,20160008,2016-01-24,2016,1,24,CONDUCTOR,MOTO,MASCULINO,30
6,20160009,2016-01-24,2016,1,24,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,29
7,20160010,2016-01-29,2016,1,29,CONDUCTOR,MOTO,MASCULINO,18
8,20160012,2016-02-08,2016,2,8,CONDUCTOR,MOTO,MASCULINO,22
9,20160013,2016-02-10,2016,2,10,PEATON,PEATON,MASCULINO,16
10,20160015,2016-02-14,2016,2,14,PEATON,PEATON,FEMENINO,16
11,20160016,2016-02-14,2016,2,14,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,19
12,20160017,2016-02-15,2016,2,15,PEATON,PEATON,MASCULINO,59
13,20160019,2016-02-17,2016,2,17,PEATON,PEATON,FEMENINO,65
14,20160020,2016-02-17,2016,2,17,PEATON,PEATON,MASCULINO,59
15,20160021,2016-02-17,2016,2,17,CONDUCTOR,AUTO,MASCULINO,34
16,20160022,2016-02-21,2016,2,21,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,41
17,20160025,2016-02-28,2016,2,28,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,34
18,20160026,2016-02-28,2016,2,28,CONDUCTOR,AUTO,MASCULINO,30
19,20160027,2016-02-28,2016,2,28,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,34
20,20160028,2016-03-02,2016,3,2,PEATON,PEATON,MASCULINO,50
21,20160029,2016-03-04,2016,3,4,PEATON,PEATON,MASCULINO,38
22,20160031,2016-03-08,2016,3,8,CONDUCTOR,MOTO,MASCULINO,21
23,20160034,2016-03-12,2016,3,12,PEATON,PEATON,MASCULINO,52
24,20160035,2016-03-13,2016,3,13,CONDUCTOR,MOTO,MASCULINO,34
25,20160036,2016-03-14,2016,3,14,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,36
26,20160037,2016-03-19,2016,3,19,CONDUCTOR,MOTO,MASCULINO,20
27,20160038,2016-03-21,2016,3,21,PEATON,PEATON,MASCULINO,29
28,20160039,2016-03-23,2016,3,23,CONDUCTOR,MOTO,MASCULINO,20
29,20160041,2016-03-29,2016,3,29,CONDUCTOR,MOTO,MASCULINO,54
30,20160041,2016-03-29,2016,3,29,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,SD
31,20160043,2016-03-30,2016,3,30,PEATON,PEATON,FEMENINO,56
32,20160044,2016-03-31,2016,3,31,CONDUCTOR,MOTO,MASCULINO,24
33,20160045,2016-04-11,2016,4,11,CONDUCTOR,MOTO,MASCULINO,SD
34,20160047,2016-04-15,2016,4,15,PEATON,PEATON,MASCULINO,41
35,20160048,2016-04-15,2016,4,15,PEATON,PEATON,FEMENINO,SD
36,20160049,2016-04-17,2016,4,17,SD,SD,SD,SD
37,20160050,2016-04-19,2016,4,19,PEATON,PEATON,MASCULINO,78
38,20160051,2016-04-20,2016,4,20,CONDUCTOR,MOTO,MASCULINO,36
39,20160052,2016-04-20,2016,4,20,SD,MOTO,SD,SD
40,20160053,2016-04-22,2016,4,22,PEATON,PEATON,MASCULINO,38
41,20160054,2016-04-23,2016,4,23,CONDUCTOR,MOTO,MASCULINO,30
42,20160055,2016-04-25,2016,4,25,PEATON,PEATON,MASCULINO,79
43,20160056,2016-04-26,2016,4,26,CONDUCTOR,MOTO,MASCULINO,26
44,20160058,2016-05-04,2016,5,4,PEATON,PEATON,FEMENINO,57
45,20160059,2016-05-08,2016,5,8,PEATON,PEATON,MASCULINO,37
46,20160064,2016-05-14,2016,5,14,PEATON,PEATON,MASCULINO,20
47,20160065,2016-05-20,2016,5,20,PEATON,PEATON,MASCULINO,20
48,20160067,2016-05-21,2016,5,21,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,30
49,20160068,2016-05-22,2016,5,22,CONDUCTOR,MOTO,MASCULINO,58
50,20160069,2016-05-23,2016,5,23,CONDUCTOR,AUTO,MASCULINO,30
51,20160073,2016-06-11,2016,6,11,CONDUCTOR,MOTO,MASCULINO,23
52,20160074,2016-06-12,2016,6,12,CONDUCTOR,AUTO,MASCULINO,60
53,20160075,2016-06-12,2016,6,12,PEATON,PEATON,MASCULINO,42
54,20160076,2016-06-13,2016,6,13,PEATON,PEATON,FEMENINO,53
55,20160077,2016-06-13,2016,6,13,PEATON,PEATON,FEMENINO,SD
56,20160078,2016-06-13,2016,6,13,CONDUCTOR,MOTO,MASCULINO,30
57,20160079,2016-06-16,2016,6,16,CONDUCTOR,AUTO,FEMENINO,51
58,20160080,2016-06-18,2016,6,18,CONDUCTOR,AUTO,MASCULINO,60
59,20160081,2016-06-22,2016,6,22,CONDUCTOR,MOTO,MASCULINO,40
60,20160082,2016-06-27,2016,6,27,PEATON,PEATON,MASCULINO,87
61,20160083,2016-06-28,2016,6,28,PEATON,PEATON,FEMENINO,76
62,20160084,2016-06-29,2016,6,29,PEATON,PEATON,MASCULINO,57
63,20160085,2016-06-29,2016,6,29,SD,MOTO,MASCULINO,SD
64,20160086,2016-06-30,2016,6,30,PEATON,PEATON,MASCULINO,75
65,20160087,2016-07-03,2016,7,3,CONDUCTOR,MOTO,MASCULINO,23
66,20160088,2016-07-11,2016,7,11,PEATON,PEATON,FEMENINO,70
67,20160089,2016-07-14,2016,7,14,PEATON,PEATON,MASCULINO,35
68,20160090,2016-07-14,2016,7,14,PEATON,PEATON,MASCULINO,60
69,20160092,2016-07-15,2016,7,15,CONDUCTOR,MOTO,MASCULINO,24
70,20160093,2016-07-17,2016,7,17,CONDUCTOR,AUTO,MASCULINO,35
71,20160095,2016-07-23,2016,7,23,CONDUCTOR,MOTO,MASCULINO,29
72,20160096,2016-07-25,2016,7,25,CONDUCTOR,MOTO,MASCULINO,SD
73,20160097,2016-07-26,2016,7,26,PEATON,PEATON,MASCULINO,80
74,20160098,2016-07-27,2016,7,27,CONDUCTOR,MOTO,FEMENINO,43
75,20160099,2016-07-29,2016,7,29,CONDUCTOR,CARGAS,MASCULINO,45
76,20160100,2016-08-03,2016,8,3,CONDUCTOR,MOTO,MASCULINO,57
77,20160101,2016-08-07,2016,8,7,SD,SD,MASCULINO,67
78,20160102,2016-08-10,2016,8,10,CONDUCTOR,MOTO,MASCULINO,29
79,20160104,2016-08-14,2016,8,14,CONDUCTOR,MOTO,MASCULINO,21
80,20160105,2016-08-17,2016,8,17,PEATON,PEATON,MASCULINO,19
81,20160106,2016-08-19,2016,8,19,PEATON,PEATON,MASCULINO,38
82,20160107,2016-08-20,2016,8,20,CONDUCTOR,MOTO,MASCULINO,21
83,20160109,2016-08-24,2016,8,24,CONDUCTOR,AUTO,FEMENINO,53
84,20160110,2016-08-24,2016,8,24,PEATON,PEATON,MASCULINO,57
85,20160111,2016-08-25,2016,8,25,CONDUCTOR,MOTO,MASCULINO,27
86,20160112,2016-08-27,2016,8,27,CONDUCTOR,MOTO,MASCULINO,24
87,20160113,2016-08-27,2016,8,27,PEATON,PEATON,FEMENINO,60
88,20160114,2016-08-31,2016,8,31,CICLISTA,BICICLETA,FEMENINO,55
89,20160115,2016-09-02,2016,9,2,SD,SD,MASCULINO,SD
90,20160116,2016-09-02,2016,9,2,CONDUCTOR,MOTO,MASCULINO,30
91,20160117,2016-09-03,2016,9,3,CONDUCTOR,AUTO,MASCULINO,43
92,20160118,2016-09-04,2016,9,4,CONDUCTOR,AUTO,MASCULINO,27
93,20160119,2016-09-04,2016,9,4,PASAJERO_ACOMPAÑANTE,SD,FEMENINO,SD
94,20160122,2016-09-13,2016,9,13,CICLISTA,BICICLETA,MASCULINO,49
95,20160123,2016-09-14,2016,9,14,CONDUCTOR,MOTO,FEMENINO,58
96,20160124,2016-09-16,2016,9,16,PEATON,PEATON,MASCULINO,67
97,20160125,2016-09-17,2016,9,17,CONDUCTOR,MOTO,MASCULINO,30
98,20160126,2016-09-18,2016,9,18,CONDUCTOR,AUTO,MASCULINO,37
99,20160126,2016-09-18,2016,9,18,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,60
100,20160127,2016-09-24,2016,9,24,PEATON,PEATON,MASCULINO,50
